date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,hash,dateChecked,death,hospitalized,total,totalTestResults,posNeg,fips,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease
20200403,SD,187,4593,3,,17,,,,,69,aa416c771bd2c9e919678126e5564dbe952c2e46,2020-04-03T20:00:00Z,2,17,4783,4780,4780,46,0,0,376,22,398
20200403,TN,3067,34772,,,293,,,,,248,019351b10edda80786a653adea2799cab1992e8a,2020-04-03T20:00:00Z,37,293,37839,37839,37839,47,5,30,3006,222,3228
20200403,TX,5330,50434,,,196,,,,,38,18a3dcd9d77854accccca1eb809c495d24501fbf,2020-04-03T20:00:00Z,90,196,55764,55764,55764,48,20,0,4424,661,5085
20200403,UT,1246,23002,,,106,,,,,,be88433eea3c0ab307191b78f63c45fe05615642,2020-04-03T20:00:00Z,7,106,24248,24248,24248,49,0,6,3011,172,3183
20200403,VA,2012,16993,,,312,,145,,108,,cb349d06a8404e8ea589d4d05f5ae53dfdbd1692,2020-04-03T20:00:00Z,46,312,19005,19005,19005,51,5,7,1110,306,1416
20200403,VI,38,154,56,,,,,,,29,17ad51e2c11f205d7826f212c444c6191de61144,2020-04-03T20:00:00Z,,,248,192,192,78,0,0,5,5,10
20200403,VT,389,4839,,29,45,,,,,15,fd502b9dcb8608ca17ea5eecf37d01466c5f5389,2020-04-03T20:00:00Z,17,45,5228,5228,5228,50,0,0,128,51,179
20200403,WA,6585,72833,,,254,,,,,,959e56f464378567061d69a9f5fe856b61563bc4,2020-04-03T20:00:00Z,262,254,79418,79418,79418,53,15,0,4019,601,4620
20200403,WI,1912,22377,,,487,,,,,,ac2e774ab91aaf87bd106a4d19ddc35d0a14d163,2020-04-03T20:00:00Z,37,487,24289,24289,24289,55,6,26,2060,182,2242
20200403,WV,237,6130,,,1,,,,,,0d5735f82295c4874f145fbc22684001af9837e6,2020-04-03T20:00:00Z,2,1,6367,6367,6367,54,0,0,854,20,874
20200403,WY,162,2704,,,21,,,,,37,3fa4d519d76a3a9a53f819f66887a8a4f7587958,2020-04-03T20:00:00Z,0,21,2866,2866,2866,56,0,2,265,12,277
20200402,AK,143,4879,,,9,,,,,,87a29f5de0e12ea1b772006bfa38cdee3327489e,2020-04-02T20:00:00Z,3,9,5022,5022,5022,02,0,0,409,10,419
20200402,AL,1233,7503,,,,,,,,,1a78d31c95bd0d315fc61461107fcd8c66e53b43,2020-04-02T20:00:00Z,32,,8736,8736,8736,01,6,0,806,156,962
20200402,AR,643,7880,,66,,,,23,,47,34259fa1839931debea61bd331ad6b244b1942b5,2020-04-02T20:00:00Z,12,,8523,8523,8523,05,2,0,526,59,585
20200402,AS,0,20,6,,,,,,,,7058273a82ba6625ccd3a695324eba9718a267c6,2020-04-02T20:00:00Z,0,,26,20,20,60,0,0,0,0,0
20200402,AZ,1598,21111,,,228,,83,,,,51dcd56d6738e79b41c1c6d32c5454a7d2d1e2bf,2020-04-02T20:00:00Z,32,228,22709,22709,22709,04,3,79,1466,185,1651
20200402,CA,9191,23809,59500,1922,,816,,,,,99877fe91b05bb13daef3f63c02c50d2a271e7f5,2020-04-02T20:00:00Z,203,,92500,33000,33000,06,32,0,2037,1036,3073
20200402,CO,3342,15303,,,620,,,,,,87f72739eeb827250a64fd310d95871229e9020f,2020-04-02T20:00:00Z,80,620,18645,18645,18645,08,11,111,1420,376,1796
20200402,CT,3824,14476,,827,,,,,,,bbaf84bc79e98252465e76199b3d66cb58316223,2020-04-02T20:00:00Z,112,,18300,18300,18300,09,27,0,1433,267,1700
20200402,DC,653,4417,,,,,,,,173,bb0f0a7da39336cefc7629d9814ca0bd2a83e358,2020-04-02T20:00:00Z,12,,5070,5070,5070,11,1,0,1155,67,1222
20200402,DE,393,4566,,56,,,,,,49,ed433f1aae9fc98fb0f7510f5bbd3f0bd9cdf5ab,2020-04-02T20:00:00Z,12,,4959,4959,4959,10,1,0,551,25,576
20200402,FL,8010,69286,1285,,1123,,,,,,174161bf2644248219c4f77323f7aa378fc8d409,2020-04-02T20:00:00Z,128,1123,78581,77296,77296,12,41,174,9757,1055,10812
20200402,GA,5348,17609,,,1056,,,,,,15b36e0f73598e9edefa4eb26b735231587f472d,2020-04-02T20:00:00Z,163,1056,22957,22957,22957,13,24,104,1921,710,2631
20200402,GU,82,442,,,19,,2,,,12,c1dc7b10d8fcbd564a478033f31f3dada3fdab32,2020-04-02T20:00:00Z,3,19,524,524,524,66,0,0,36,5,41
20200402,HI,258,10206,,,15,,6,,,69,ac8dc9b5da36db2163bbfdd8ca59dd03cfec5f3d,2020-04-02T20:00:00Z,1,15,10464,10464,10464,15,0,2,1485,50,1535
20200402,IA,614,8054,,74,120,,,,,46,1f5c0a22d84a29b633b8b5a1fd1154e5b7a69bd9,2020-04-02T20:00:00Z,11,120,8668,8668,8668,19,2,21,750,65,815
20200402,ID,669,6613,,,49,,7,,,,378cb12d7518fb0b43fcd79e17608a1b0d3a2d1c,2020-04-02T20:00:00Z,9,49,7282,7282,7282,16,0,3,537,144,681
20200402,IL,7695,35961,,,,,,,,,1a8b1e0bab7743ed9c982d78d0d7844622a6d6a3,2020-04-02T20:00:00Z,157,,43656,43656,43656,17,16,0,2557,715,3272
20200402,IN,3039,13246,,,,,,,,,7efa7f48655167cc1d748ae1740c9b97dd06a209,2020-04-02T20:00:00Z,78,,16285,16285,16285,18,13,0,1436,474,1910
20200402,KS,552,6059,,,138,,,,,,e1d064496cc599d8997422f5393e363895fed048,2020-04-02T20:00:00Z,13,138,6611,6611,6611,20,3,24,648,70,718
20200402,KY,680,7220,,,,,,,,,9ab2e64fd49a2aba449f469559e03c171789906f,2020-04-02T20:00:00Z,20,,7900,7900,7900,21,3,0,255,89,344
20200402,LA,9150,41936,,,1639,,,,507,,00bc323a6acfed050d7eb6527cbc2edd1bea6eb7,2020-04-02T20:00:00Z,310,1639,51086,51086,51086,22,37,141,2584,2726,5310
20200402,MA,8966,47642,,,813,,,,,,79d0614d1b714ae75a41b332ec20fb5cbecebab8,2020-04-02T20:00:00Z,154,813,56608,56608,56608,25,32,131,3642,1228,4870
20200402,MD,2331,18890,,,582,,,,,81,ecc07bae25f936e57b3850a6ce3bcb5de2a72e94,2020-04-02T20:00:00Z,36,582,21221,21221,21221,24,5,60,1657,346,2003
20200402,ME,376,6088,,,68,,,,,94,06fbf4e13e1f498f67a0c8c3ed6230b5d2545f50,2020-04-02T20:00:00Z,7,68,6464,6464,6464,23,0,5,0,32,32
20200402,MI,10791,11893,,,,,,,,,6f2458a7d5643a87a271e0b9bb088a7bff260de3,2020-04-02T20:00:00Z,417,,22684,22684,22684,26,80,0,0,1457,1457
20200402,MN,742,21652,,75,138,38,38,,,,af6b7633af8e8dd204b0ba17fe37e8ade6cd0abb,2020-04-02T20:00:00Z,18,138,22394,22394,22394,27,1,16,1150,53,1203
20200402,MO,1834,17849,,,,,,,,,db61b660ddb54194c33a182e92605bcbeccb7e37,2020-04-02T20:00:00Z,19,,19683,19683,19683,29,1,0,2003,253,2256
20200402,MP,8,13,12,,,,,,,,4c6b9b16d6a6f74a9d5d88fac1a5f162fbf047df,2020-04-02T20:00:00Z,1,,33,21,21,69,1,0,13,2,15
20200402,MS,1177,4753,,,360,,,,,,3fcf47375c2d49eb03ea205131eac0e18c42a29d,2020-04-02T20:00:00Z,26,360,5930,5930,5930,28,4,28,1041,104,1145
20200402,MT,227,5093,,,20,,,,,,83ed127512ee7881e2dc28380478203d2775dbaa,2020-04-02T20:00:00Z,5,20,5320,5320,5320,30,0,3,383,19,402
20200402,NC,1857,26822,,184,204,,,,,,fc6505af359bdeaf2b3e4eb74c3845c86659e04c,2020-04-02T20:00:00Z,16,204,28679,28679,28679,37,6,0,2163,273,2436
20200402,ND,159,4821,,,28,,,,,43,772ba7dafcd9354101e253cccb816ef1eebf1dc7,2020-04-02T20:00:00Z,3,28,4980,4980,4980,38,0,5,470,17,487
20200402,NE,246,3978,11,,,,,,,,1e5adc3c19a8d6dfeddcd695a6e27c0091ee0f4a,2020-04-02T20:00:00Z,5,,4235,4224,4224,31,1,0,503,36,539
20200402,NH,415,6078,126,58,59,,,,,91,db06679a86edc18535729a4d8e32df90889b7a3f,2020-04-02T20:00:00Z,4,59,6619,6493,6493,33,0,0,93,0,93
20200402,NJ,25590,33520,,,,,,,,,1350231ad51ae6e7e6b55243f9566d17a5460703,2020-04-02T20:00:00Z,537,,59110,59110,59110,34,182,0,3133,3335,6468
20200402,NM,363,13648,,31,31,,,,,26,d4cbc6f4f974db9eb90a5c3f5df1b80235cb9e43,2020-04-02T20:00:00Z,6,31,14011,14011,14011,35,1,7,723,48,771
20200402,NV,1458,12588,,,,,,,,,ac281047995939a05d81fab70153c5a347c9a93f,2020-04-02T20:00:00Z,38,,14046,14046,14046,32,12,0,1069,179,1248
20200402,NY,92381,146584,,13383,20817,3396,,,,7434,764d0566c27be04c416c502640d5fffbcb8cad26,2020-04-02T20:00:00Z,2373,20817,238965,238965,238965,36,432,2449,9416,8669,18085
20200402,OH,2902,32016,,,802,,260,,,,9cb637113ec0c42f449d0e11e3fb945befdcb348,2020-04-02T20:00:00Z,81,802,34918,34918,34918,39,16,123,5024,355,5379
20200402,OK,879,1265,,,257,,,,,,566ac2a75a879b83eb20085c9ea44852fa14d63a,2020-04-02T20:00:00Z,34,257,2144,2144,2144,40,4,38,17,160,177
20200402,OR,736,14132,,134,167,,,38,40,,b771658b625232d8a1f579f80eab46699a03f83b,2020-04-02T20:00:00Z,19,167,14868,14868,14868,41,1,13,996,46,1042
20200402,PA,7016,47698,,,730,,,,,,0dc7935c18797a0f7616c41c364e159c12d62657,2020-04-02T20:00:00Z,90,730,54714,54714,54714,42,16,110,5271,1211,6482
20200402,PR,316,1604,1119,,,,,,,,2b9a9af18f7c56e17ab89f48b071e4c9afd668a9,2020-04-02T20:00:00Z,12,,3039,1920,1920,72,1,0,195,30,225
20200402,RI,657,4412,,72,,14,,6,6,35,7e7e0cb0eedf94e8de8cc04fbfcbb89fb9b01d54,2020-04-02T20:00:00Z,12,,5069,5069,5069,44,2,0,581,91,672
20200402,SC,1554,5441,,,896,,,,,,0226337007d3996a9de9db3c450c9eae6f65f47d,2020-04-02T20:00:00Z,31,896,6995,6995,6995,45,5,547,408,261,669
20200402,SD,165,4217,0,,17,,,,,57,4503bb5ad5f51410838cf0a227b9d7ebeb19f745,2020-04-02T20:00:00Z,2,17,4382,4382,4382,46,0,5,314,36,350
20200402,TN,2845,31766,,,263,,,,,220,59629453e17df16d80dffa1ce35c5dcb1e94c5a2,2020-04-02T20:00:00Z,32,263,34611,34611,34611,47,8,63,1997,162,2159
20200402,TX,4669,46010,,,196,,,,,38,7d8ea7ba1c7a7c798cfb9c6c3862a58278c06e3b,2020-04-02T20:00:00Z,70,196,50679,50679,50679,48,12,0,2150,672,2822
20200402,UT,1074,19991,,,100,,,,,,c52cf5f5cbc216f45b25fcef2adf90f644c2b052,2020-04-02T20:00:00Z,7,100,21065,21065,21065,49,0,9,-164,62,-102
20200402,VA,1706,15883,,246,305,,145,,108,,9796a8ec0aabb4d2cffe52ed46445fae43bd50c6,2020-04-02T20:00:00Z,41,305,17589,17589,17589,51,7,0,2023,222,2245
20200402,VI,33,149,42,,,,,,,25,0361adbd93f9cc390d8b9459a98f69fdd89577c7,2020-04-02T20:00:00Z,,,224,182,182,78,0,0,23,3,26
20200402,VT,338,4711,,29,45,,,,,15,7510d18997abe87e7201c6841efcdf23546e72e3,2020-04-02T20:00:00Z,17,45,5049,5049,5049,50,1,0,537,17,554
20200402,WA,5984,68814,,,254,,,,,,85955197769abfbadd9dcbe4a2678ab67b3e6822,2020-04-02T20:00:00Z,247,254,74798,74798,74798,53,23,0,8248,350,8598
20200402,WI,1730,20317,,,461,,,,,,834fc46c2905f903a94bd047bced3c8b65158dbe,2020-04-02T20:00:00Z,31,461,22047,22047,22047,55,7,63,1498,180,1678
20200402,WV,217,5276,,,1,,,,,,bf37a7e21c11c01b281839b088a20c114f1455eb,2020-04-02T20:00:00Z,2,1,5493,5493,5493,54,1,0,892,26,918
20200402,WY,150,2439,,,19,,,,,31,eb0c78de23230d157b8ec36ace867b3cb3657118,2020-04-02T20:00:00Z,0,19,2589,2589,2589,56,0,1,221,20,241
20200401,AK,133,4470,,,9,,,,,,28dfb9b2615a8df04f8c622ad2fb590a6f7da833,2020-04-01T20:00:00Z,3,9,4603,4603,4603,02,0,2,876,14,890
20200401,AL,1077,6697,,,,,,,,,9bd398e733a5ca5042bde1fd8ce2831fc248b0b1,2020-04-01T20:00:00Z,26,,7774,7774,7774,01,13,0,399,96,495
20200401,AR,584,7354,,56,90,,,25,32,42,eb0f33b592be1e182660fe530097a09b66431f2c,2020-04-01T20:00:00Z,10,90,7938,7938,7938,05,2,26,1395,61,1456
20200401,AS,0,20,6,,,,,,,,20abdaacb1a99121d3a25c769ce8dd1ac9bdab61,2020-04-01T20:00:00Z,0,,26,20,20,60,0,0,17,0,17
20200401,AZ,1413,19645,,,149,,51,,,,5dd22577aa9da74dba6c60ec793ebf24511645e1,2020-04-01T20:00:00Z,29,149,21058,21058,21058,04,5,71,1563,124,1687
20200401,CA,8155,21772,57400,1855,1855,774,774,,,,6fb93efce94c15c30e753005c45c7b45e390198c,2020-04-01T20:00:00Z,171,1855,87327,29927,29927,06,18,238,0,673,673
20200401,CO,2966,13883,,,509,,,,,,a3ee849de14da82b70a71d32f063b1237b9dff2b,2020-04-01T20:00:00Z,69,509,16849,16849,16849,08,18,95,1146,339,1485
20200401,CT,3557,13043,,766,766,,,,,,f749f0110af60be2bb7eda83cf543c95cfbfac5d,2020-04-01T20:00:00Z,85,766,16600,16600,16600,09,16,158,14,429,443
20200401,DC,586,3262,2,,,,,,,142,8a7aef6408b5c008467ada52ef83bc9e47d8af28,2020-04-01T20:00:00Z,11,,3850,3848,3848,11,2,0,0,91,91
20200401,DE,368,4015,,51,57,,,,,49,baa25d2006bd8abfc80790eac0381985836fa4f4,2020-04-01T20:00:00Z,11,57,4383,4383,4383,10,1,-7,319,49,368
20200401,FL,6955,59529,1235,,949,,,,,,d9a24f33db59e2a7276a3019ee2e37f41f9bfb06,2020-04-01T20:00:00Z,87,949,67719,66484,66484,12,10,126,5244,617,5861
20200401,GA,4638,15688,,,952,,,,,,d6147a1075561f5d68ac98a7cb4dedb3e75bcd4c,2020-04-01T20:00:00Z,139,952,20326,20326,20326,13,28,119,3436,709,4145
20200401,GU,77,406,,,19,,2,,,9,0047869c42b3a30e447175952af42627408a157f,2020-04-01T20:00:00Z,3,19,483,483,483,66,1,0,35,8,43
20200401,HI,208,8721,,,13,,6,,,58,46d6cbdc0fe52b7c89e99d61bc60c6ddb4a7ab6d,2020-04-01T20:00:00Z,1,13,8929,8929,8929,15,1,1,250,4,254
20200401,IA,549,7304,,63,99,,,,,118,c2d7f358dcc4c936b1651f06d65c5bd7ef3ab8a2,2020-04-01T20:00:00Z,9,99,7853,7853,7853,19,2,5,416,52,468
20200401,ID,525,6076,,,46,,7,,,,cc12e3fa599537f47fad0258e0009e6ef9fe0581,2020-04-01T20:00:00Z,9,46,6601,6601,6601,16,2,1,779,110,889
20200401,IL,6980,33404,,,,,,,,,026b984139faebf730612961db2541ecac874f45,2020-04-01T20:00:00Z,141,,40384,40384,40384,17,42,0,4173,986,5159
20200401,IN,2565,11810,,,,,,,,,fcc053001d98ddb6739b2610781931fbb476aac3,2020-04-01T20:00:00Z,65,,14375,14375,14375,18,16,0,596,406,1002
20200401,KS,482,5411,,,114,,,,,,d8abbc3a45478014e68bb1033ec072f19a68ec6a,2020-04-01T20:00:00Z,10,114,5893,5893,5893,20,1,35,415,54,469
20200401,KY,591,6965,,,,,,,,,d401a0f0702a3e7442668504f89d9bbf0fd9db08,2020-04-01T20:00:00Z,17,,7556,7556,7556,21,6,0,635,111,746
20200401,LA,6424,39352,,,1498,,,,490,,3e4974bc6afa3064f7b37913b0497195237d9651,2020-04-01T20:00:00Z,273,1498,45776,45776,45776,22,34,143,5622,1187,6809
20200401,MA,7738,44000,,,682,,,,,,70ea3d599c7c506eafd12cbed1d23daa16709040,2020-04-01T20:00:00Z,122,682,51738,51738,51738,25,33,120,3685,1118,4803
20200401,MD,1985,17233,,,522,,,,,,37fdabd80821d81988b5e5a11005bbe7e3a77a5f,2020-04-01T20:00:00Z,31,522,19218,19218,19218,24,13,93,2365,325,2690
20200401,ME,344,6088,,,63,,,,,80,d31aa8304a5b094eb4d5598468a141d0f896f408,2020-04-01T20:00:00Z,7,63,6432,6432,6432,23,2,6,0,41,41
20200401,MI,9334,11893,,,,,,,,,654f19f58224826f0114ad7d33661d9d8880ad78,2020-04-01T20:00:00Z,337,,21227,21227,21227,26,78,0,0,1719,1719
20200401,MN,689,20502,,54,122,27,27,,,,f3620fcfc12dce927a8e2f46922b59df0e351756,2020-04-01T20:00:00Z,17,122,21191,21191,21191,27,5,10,1351,60,1411
20200401,MO,1581,15846,,,,,,,,,dc97aa93ab282b95a3c23db92cd5efdf0b46ac22,2020-04-01T20:00:00Z,18,,17427,17427,17427,29,4,0,1232,254,1486
20200401,MP,6,,,,,,,,,,5fb1a4bb5496638fbba1216c23902a9938e1eaac,2020-04-01T20:00:00Z,,,6,6,6,69,0,0,0,4,4
20200401,MS,1073,3712,,,332,,,,,,03c61b979c5d42a05f6620424c0f7090acc01647,2020-04-01T20:00:00Z,22,332,4785,4785,4785,28,2,121,175,136,311
20200401,MT,208,4710,,,17,,,,,,5c9460763670b2514d789493ad77a8e06dc8bcc2,2020-04-01T20:00:00Z,5,17,4918,4918,4918,30,1,3,476,24,500
20200401,NC,1584,24659,,204,204,,,,,,e7d16063de0c0d172e6b3c63e9fa5886f5f3311f,2020-04-01T20:00:00Z,10,204,26243,26243,26243,37,2,47,3051,86,3137
20200401,ND,142,4351,,23,23,,,,,34,ab1dd18bfe3db1694179598fab36263f0532fe0a,2020-04-01T20:00:00Z,3,23,4493,4493,4493,38,0,2,220,16,236
20200401,NE,210,3475,8,,,,,,,,a736e9df99d379949dec4b420b4fe03c5a5b32b4,2020-04-01T20:00:00Z,4,,3693,3685,3685,31,1,0,544,38,582
20200401,NH,415,5985,97,,59,,,,,56,6fb656cf90040c55a5d29d3739819ab6457a8903,2020-04-01T20:00:00Z,4,59,6497,6400,6400,33,1,14,572,101,673
20200401,NJ,22255,30387,,,,,,,,,c70a3b11fb70789f402a5509b3c0000548c2587b,2020-04-01T20:00:00Z,355,,52642,52642,52642,34,88,0,3310,3559,6869
20200401,NM,315,12925,,24,24,,,,,26,555b761980125a8119c4d929f41f1f3a9e073a3f,2020-04-01T20:00:00Z,5,24,13240,13240,13240,35,1,2,679,34,713
20200401,NV,1279,11519,,,,,,,,,99ca8c448bcd3a57ffe6454db6a4b2533447a96b,2020-04-01T20:00:00Z,26,,12798,12798,12798,32,9,0,838,166,1004
20200401,NY,83712,137168,,12226,18368,3022,3022,,,6142,bc022c8f01dbc1a4d1f046ebce21c18a7b42cfa6,2020-04-01T20:00:00Z,1941,18368,220880,220880,220880,36,391,2464,7777,7917,15694
20200401,OH,2547,26992,,679,679,,222,,,,dbf14be5566651ac0a96384a5162108330436895,2020-04-01T20:00:00Z,65,679,29539,29539,29539,39,10,94,0,348,348
