FIPS,County,Province/State,Country/Region,Last Update,Lat,Long,Confirmed,Deaths,Recovered,Active,Admin
16069,Nez Perce,Idaho,US,,46.32638236,-116.7500975,0,0,,,Admin3
16035,Clearwater,Idaho,US,,46.67459924,-115.6622393,0,0,,,Admin3
16057,Latah,Idaho,US,,46.81587887,-116.7113698,0,0,,,Admin3
16009,Benewah,Idaho,US,,47.21754179,-116.6586851,0,0,,,Admin3
16079,Shoshone,Idaho,US,,47.35364087,-115.8916749,0,0,,,Admin3
16055,Kootenai,Idaho,US,,47.67282258,-116.7020872,0,0,,,Admin3
16017,Bonner,Idaho,US,,48.29996017,-116.6017932,0,0,,,Admin3
16021,Boundary,Idaho,US,,48.76684761,-116.4630179,0,0,,,Admin3
17003,Alexander,Illinois,US,,37.18049267,-89.32910838,0,0,,,Admin3
17127,Massac,Illinois,US,,37.22078441,-88.71036614,0,0,,,Admin3
17153,Pulaski,Illinois,US,,37.22631423,-89.13085001,0,0,,,Admin3
17151,Pope,Illinois,US,,37.41391284,-88.56152109,0,0,,,Admin3
17087,Johnson,Illinois,US,,37.45939802,-88.88165419,0,0,,,Admin3
17181,Union,Illinois,US,,37.47119609,-89.25548938,0,0,,,Admin3
17069,Hardin,Illinois,US,,37.51810645,-88.26873022,0,0,,,Admin3
17199,Williamson,Illinois,US,,37.73033511,-88.92994027,0,0,,,Admin3
17165,Saline,Illinois,US,,37.75332999,-88.54119706,0,0,,,Admin3
17059,Gallatin,Illinois,US,,37.76430935,-88.22953869,0,0,,,Admin3
17077,Jackson,Illinois,US,,37.78595185,-89.38232563,0,0,,,Admin3
17055,Franklin,Illinois,US,,37.99189086,-88.92567818,0,0,,,Admin3
17157,Randolph,Illinois,US,,38.05095369,-89.82512254,0,0,,,Admin3
17065,Hamilton,Illinois,US,,38.08163641,-88.53883373,0,0,,,Admin3
17145,Perry,Illinois,US,,38.08510853,-89.36856219,0,0,,,Admin3
17193,White,Illinois,US,,38.08706198,-88.17657461,0,0,,,Admin3
17133,Monroe,Illinois,US,,38.27594376,-90.17761038,0,0,,,Admin3
17081,Jefferson,Illinois,US,,38.29980057,-88.9240025,0,0,,,Admin3
17189,Washington,Illinois,US,,38.35309213,-89.40982703,0,0,,,Admin3
17047,Edwards,Illinois,US,,38.41353228,-88.05720863,0,0,,,Admin3
17191,Wayne,Illinois,US,,38.42955355,-88.42586459,0,0,,,Admin3
17185,Wabash,Illinois,US,,38.44272901,-87.84922065,0,0,,,Admin3
17163,St. Clair,Illinois,US,,38.46996033,-89.93063427,2,0,,,Admin3
17027,Clinton,Illinois,US,,38.60704876,-89.42385254,0,0,,,Admin3
17121,Marion,Illinois,US,,38.64963204,-88.91899208,0,0,,,Admin3
17159,Richland,Illinois,US,,38.71240969,-88.08475366,0,0,,,Admin3
17101,Lawrence,Illinois,US,,38.71987914,-87.72884035,0,0,,,Admin3
17025,Clay,Illinois,US,,38.75388572,-88.48914513,0,0,,,Admin3
17119,Madison,Illinois,US,,38.83042506,-89.90422563,0,0,,,Admin3
17005,Bond,Illinois,US,,38.88829622,-89.43534887,0,0,,,Admin3
17051,Fayette,Illinois,US,,39.00072038,-89.02452658,0,0,,,Admin3
17033,Crawford,Illinois,US,,39.0032229,-87.75954624,0,0,,,Admin3
17079,Jasper,Illinois,US,,39.01054275,-88.15437049,0,0,,,Admin3
17049,Effingham,Illinois,US,,39.05935711,-88.58969584,0,0,,,Admin3
17083,Jersey,Illinois,US,,39.08869046,-90.35393073,0,0,,,Admin3
17013,Calhoun,Illinois,US,,39.16840183,-90.66330078,0,0,,,Admin3
17135,Montgomery,Illinois,US,,39.23198845,-89.47809254,0,0,,,Admin3
17117,Macoupin,Illinois,US,,39.26119767,-89.92424028,0,0,,,Admin3
17035,Cumberland,Illinois,US,,39.27432424,-88.2401158,1,0,,,Admin3
17023,Clark,Illinois,US,,39.33425789,-87.78705622,0,0,,,Admin3
17061,Greene,Illinois,US,,39.35907414,-90.388865,0,0,,,Admin3
17173,Shelby,Illinois,US,,39.39133527,-88.80611122,0,0,,,Admin3
17029,Coles,Illinois,US,,39.51949084,-88.22358557,1,0,,,Admin3
17021,Christian,Illinois,US,,39.54581621,-89.27780482,0,0,,,Admin3
17149,Pike,Illinois,US,,39.62265059,-90.8877017,0,0,,,Admin3
17139,Moultrie,Illinois,US,,39.64187451,-88.62099969,0,0,,,Admin3
17171,Scott,Illinois,US,,39.6429169,-90.47814431,0,0,,,Admin3
17045,Edgar,Illinois,US,,39.6809186,-87.74759563,0,0,,,Admin3
17137,Morgan,Illinois,US,,39.71654544,-90.20255104,0,0,,,Admin3
17167,Sangamon,Illinois,US,,39.75836914,-89.65872023,2,0,,,Admin3
17041,Douglas,Illinois,US,,39.76768052,-88.21854195,0,0,,,Admin3
17115,Macon,Illinois,US,,39.86064913,-88.96342505,0,0,,,Admin3
17009,Brown,Illinois,US,,39.96209138,-90.75068024,0,0,,,Admin3
17017,Cass,Illinois,US,,39.96991073,-90.24734436,0,0,,,Admin3
17001,Adams,Illinois,US,,39.98815591,-91.18786813,0,0,,,Admin3
17147,Piatt,Illinois,US,,40.01360584,-88.59319339,0,0,,,Admin3
17129,Menard,Illinois,US,,40.02742725,-89.80246001,0,0,,,Admin3
17107,Logan,Illinois,US,,40.12581572,-89.36638784,0,0,,,Admin3
17019,Champaign,Illinois,US,,40.13919438,-88.20046615,0,0,,,Admin3
17169,Schuyler,Illinois,US,,40.1571798,-90.61114163,0,0,,,Admin3
17039,De Witt,Illinois,US,,40.17514519,-88.90959682,0,0,,,Admin3
17183,Vermilion,Illinois,US,,40.18417171,-87.73384359,0,0,,,Admin3
17125,Mason,Illinois,US,,40.23917274,-89.91824452,0,0,,,Admin3
17067,Hancock,Illinois,US,,40.40423981,-91.16313899,0,0,,,Admin3
17109,McDonough,Illinois,US,,40.45674722,-90.67775541,0,0,,,Admin3
17057,Fulton,Illinois,US,,40.47289135,-90.20862357,0,0,,,Admin3
17113,McLean,Illinois,US,,40.48996987,-88.84621113,0,0,,,Admin3
17179,Tazewell,Illinois,US,,40.50716185,-89.51404662,0,0,,,Admin3
17053,Ford,Illinois,US,,40.59706922,-88.22350769,0,0,,,Admin3
17075,Iroquois,Illinois,US,,40.74717633,-87.82466784,0,0,,,Admin3
17203,Woodford,Illinois,US,,40.78579374,-89.20973757,1,0,,,Admin3
17143,Peoria,Illinois,US,,40.78702156,-89.76078901,0,0,,,Admin3
17071,Henderson,Illinois,US,,40.81908672,-90.92491462,0,0,,,Admin3
17187,Warren,Illinois,US,,40.84925021,-90.6147432,0,0,,,Admin3
17105,Livingston,Illinois,US,,40.89188292,-88.55784752,0,0,,,Admin3
17095,Knox,Illinois,US,,40.93148779,-90.2133034,0,0,,,Admin3
17123,Marshall,Illinois,US,,41.0327901,-89.34510444,0,0,,,Admin3
17175,Stark,Illinois,US,,41.09309773,-89.79745866,0,0,,,Admin3
17091,Kankakee,Illinois,US,,41.13746989,-87.86205334,0,0,,,Admin3
17155,Putnam,Illinois,US,,41.2013541,-89.2869272,0,0,,,Admin3
17131,Mercer,Illinois,US,,41.20596782,-90.74290052,0,0,,,Admin3
17063,Grundy,Illinois,US,,41.28569601,-88.41905692,0,0,,,Admin3
17099,LaSalle,Illinois,US,,41.3442613,-88.88633881,0,0,,,Admin3
17073,Henry,Illinois,US,,41.3533994,-90.13296166,0,0,,,Admin3
17011,Bureau,Illinois,US,,41.40385234,-89.5283051,0,0,,,Admin3
17197,Will,Illinois,US,,41.44619267,-87.97862712,0,0,,,Admin3
17161,Rock Island,Illinois,US,,41.46613806,-90.57042164,0,0,,,Admin3
17093,Kendall,Illinois,US,,41.59081014,-88.42869583,0,0,,,Admin3
17103,Lee,Illinois,US,,41.74583951,-89.29977132,0,0,,,Admin3
17195,Whiteside,Illinois,US,,41.75509713,-89.91556058,0,0,,,Admin3
17031,Cook,Illinois,US,,41.84144849,-87.81658794,50,0,,,Admin3
17043,DuPage,Illinois,US,,41.85116968,-88.08642662,1,0,,,Admin3
17037,DeKalb,Illinois,US,,41.89373302,-88.76958483,0,0,,,Admin3
17089,Kane,Illinois,US,,41.93842729,-88.42861412,3,0,,,Admin3
17141,Ogle,Illinois,US,,42.04165196,-89.32184679,0,0,,,Admin3
17015,Carroll,Illinois,US,,42.06823429,-89.93395545,0,0,,,Admin3
17097,Lake,Illinois,US,,42.3224907,-88.00367925,3,0,,,Admin3
17007,Boone,Illinois,US,,42.32359279,-88.82345779,0,0,,,Admin3
17111,McHenry,Illinois,US,,42.32451172,-88.45248227,2,0,,,Admin3
17201,Winnebago,Illinois,US,,42.33641854,-89.16085327,0,0,,,Admin3
17177,Stephenson,Illinois,US,,42.35129217,-89.662598,0,0,,,Admin3
17085,Jo Daviess,Illinois,US,,42.36542373,-90.21094405,0,0,,,Admin3
18147,Spencer,Indiana,US,,38.01519732,-87.0079644,0,0,,,Admin3
18129,Posey,Indiana,US,,38.02097333,-87.86480429,0,0,,,Admin3
18163,Vanderburgh,Indiana,US,,38.02658833,-87.58763124,0,0,,,Admin3
18123,Perry,Indiana,US,,38.07809328,-86.63741946,0,0,,,Admin3
18173,Warrick,Indiana,US,,38.08922676,-87.2716085,0,0,,,Admin3
18061,Harrison,Indiana,US,,38.19467379,-86.10948271,0,0,,,Admin3
18025,Crawford,Indiana,US,,38.28814402,-86.44518825,0,0,,,Admin3
18051,Gibson,Indiana,US,,38.30393723,-87.58054938,0,0,,,Admin3
18043,Floyd,Indiana,US,,38.32117957,-85.90385377,0,0,,,Admin3
18037,Dubois,Indiana,US,,38.36597551,-86.8792417,0,0,,,Admin3
18125,Pike,Indiana,US,,38.40112197,-87.23574907,0,0,,,Admin3
18019,Clark,Indiana,US,,38.48015445,-85.70510334,0,0,,,Admin3
18117,Orange,Indiana,US,,38.5411892,-86.49523093,0,0,,,Admin3
18175,Washington,Indiana,US,,38.60219804,-86.1049363,0,0,,,Admin3
18143,Scott,Indiana,US,,38.68672078,-85.74627859,0,0,,,Admin3
18083,Knox,Indiana,US,,38.68861576,-87.4194665,0,0,,,Admin3
18027,Daviess,Indiana,US,,38.70186039,-87.07185406,0,0,,,Admin3
18101,Martin,Indiana,US,,38.7099921,-86.80373186,0,0,,,Admin3
18077,Jefferson,Indiana,US,,38.78576239,-85.43633383,0,0,,,Admin3
18155,Switzerland,Indiana,US,,38.82767338,-85.03022429,0,0,,,Admin3
18093,Lawrence,Indiana,US,,38.84112637,-86.48361629,0,0,,,Admin3
18071,Jackson,Indiana,US,,38.9091582,-86.03851889,0,0,,,Admin3
18115,Ohio,Indiana,US,,38.955305,-84.96515993,0,0,,,Admin3
18079,Jennings,Indiana,US,,38.99588883,-85.62710784,0,0,,,Admin3
18055,Greene,Indiana,US,,39.03630547,-86.96223202,0,0,,,Admin3
18153,Sullivan,Indiana,US,,39.08952258,-87.41414469,0,0,,,Admin3
18137,Ripley,Indiana,US,,39.10235626,-85.26212744,0,0,,,Admin3
18029,Dearborn,Indiana,US,,39.14647946,-84.97333539,0,0,,,Admin3
18105,Monroe,Indiana,US,,39.16130004,-86.52414358,0,0,,,Admin3
18013,Brown,Indiana,US,,39.19605589,-86.22868909,0,0,,,Admin3
18005,Bartholomew,Indiana,US,,39.20744865,-85.89558181,0,0,,,Admin3
18031,Decatur,Indiana,US,,39.30712658,-85.50087166,0,0,,,Admin3
18119,Owen,Indiana,US,,39.31145587,-86.83900724,0,0,,,Admin3
18021,Clay,Indiana,US,,39.39561833,-87.11723506,0,0,,,Admin3
18047,Franklin,Indiana,US,,39.4142482,-85.06062647,0,0,,,Admin3
18167,Vigo,Indiana,US,,39.42944561,-87.39169027,0,0,,,Admin3
18109,Morgan,Indiana,US,,39.47899078,-86.44573375,0,0,,,Admin3
18081,Johnson,Indiana,US,,39.48994426,-86.10149107,3,0,,,Admin3
18145,Shelby,Indiana,US,,39.52305623,-85.7915857,0,0,,,Admin3
18139,Rush,Indiana,US,,39.62002287,-85.4655599,0,0,,,Admin3
18161,Union,Indiana,US,,39.62550777,-84.92497066,0,0,,,Admin3
18041,Fayette,Indiana,US,,39.63684962,-85.17797541,0,0,,,Admin3
18133,Putnam,Indiana,US,,39.66437981,-86.84517605,0,0,,,Admin3
18063,Hendricks,Indiana,US,,39.76719009,-86.51037283,2,0,,,Admin3
18121,Parke,Indiana,US,,39.77202286,-87.20375833,0,0,,,Admin3
18097,Marion,Indiana,US,,39.78163624,-86.13826325,6,0,,,Admin3
18059,Hancock,Indiana,US,,39.82304555,-85.77566351,1,0,,,Admin3
18165,Vermillion,Indiana,US,,39.8523352,-87.46160542,0,0,,,Admin3
18177,Wayne,Indiana,US,,39.8633444,-85.01044989,0,0,,,Admin3
18065,Henry,Indiana,US,,39.93029017,-85.39625719,0,0,,,Admin3
18107,Montgomery,Indiana,US,,40.04034823,-86.89335024,0,0,,,Admin3
18011,Boone,Indiana,US,,40.0509304,-86.46841646,1,0,,,Admin3
18057,Hamilton,Indiana,US,,40.07306535,-86.05244729,1,0,,,Admin3
18045,Fountain,Indiana,US,,40.12361933,-87.24217689,0,0,,,Admin3
18135,Randolph,Indiana,US,,40.15734772,-85.01139319,0,0,,,Admin3
18095,Madison,Indiana,US,,40.16143691,-85.71964711,0,0,,,Admin3
18035,Delaware,Indiana,US,,40.22787247,-85.39732772,0,0,,,Admin3
18023,Clinton,Indiana,US,,40.30319754,-86.47277257,0,0,,,Admin3
18159,Tipton,Indiana,US,,40.31123252,-86.05234925,0,0,,,Admin3
18171,Warren,Indiana,US,,40.34728141,-87.35602659,0,0,,,Admin3
18157,Tippecanoe,Indiana,US,,40.38872739,-86.89413959,0,0,,,Admin3
18075,Jay,Indiana,US,,40.43781032,-85.00576229,0,0,,,Admin3
18009,Blackford,Indiana,US,,40.47388153,-85.32499702,0,0,,,Admin3
18067,Howard,Indiana,US,,40.48527731,-86.11351892,1,0,,,Admin3
18053,Grant,Indiana,US,,40.51587228,-85.65468702,0,0,,,Admin3
18015,Carroll,Indiana,US,,40.5807832,-86.56198812,0,0,,,Admin3
18007,Benton,Indiana,US,,40.60626947,-87.31093999,0,0,,,Admin3
18179,Wells,Indiana,US,,40.72934187,-85.22132966,1,0,,,Admin3
18001,Adams,Indiana,US,,40.7457653,-84.93671406,1,0,,,Admin3
18181,White,Indiana,US,,40.74911165,-86.86492015,0,0,,,Admin3
18017,Cass,Indiana,US,,40.76135835,-86.34830753,0,0,,,Admin3
18103,Miami,Indiana,US,,40.76940965,-86.04525048,0,0,,,Admin3
18069,Huntington,Indiana,US,,40.82907273,-85.48822092,0,0,,,Admin3
18169,Wabash,Indiana,US,,40.84704239,-85.79328272,0,0,,,Admin3
18111,Newton,Indiana,US,,40.95610449,-87.39635768,0,0,,,Admin3
18073,Jasper,Indiana,US,,41.02078733,-87.11553319,0,0,,,Admin3
18131,Pulaski,Indiana,US,,41.04166107,-86.69890683,0,0,,,Admin3
18049,Fulton,Indiana,US,,41.0469907,-86.26252745,0,0,,,Admin3
18003,Allen,Indiana,US,,41.09194313,-85.06800636,0,0,,,Admin3
18183,Whitley,Indiana,US,,41.13863784,-85.50791236,0,0,,,Admin3
18085,Kosciusko,Indiana,US,,41.24521668,-85.86312322,0,0,,,Admin3
18149,Starke,Indiana,US,,41.27890281,-86.64686895,0,0,,,Admin3
18099,Marshall,Indiana,US,,41.32467367,-86.26185087,0,0,,,Admin3
18113,Noble,Indiana,US,,41.39672484,-85.41966713,1,0,,,Admin3
18033,DeKalb,Indiana,US,,41.39804622,-84.99906934,0,0,,,Admin3
18089,Lake,Indiana,US,,41.41874274,-87.38277575,0,0,,,Admin3
18127,Porter,Indiana,US,,41.45986947,-87.06848888,0,0,,,Admin3
18091,LaPorte,Indiana,US,,41.54366008,-86.74072188,1,0,,,Admin3
18039,Elkhart,Indiana,US,,41.59761169,-85.85875695,0,0,,,Admin3
18141,St. Joseph,Indiana,US,,41.61756781,-86.29040834,1,0,,,Admin3
18087,LaGrange,Indiana,US,,41.64232188,-85.42674232,0,0,,,Admin3
18151,Steuben,Indiana,US,,41.64423868,-85.00101094,0,0,,,Admin3
19111,Lee,Iowa,US,,40.64181461,-91.48183025,0,0,,,Admin3
19159,Ringgold,Iowa,US,,40.73518949,-94.24368535,0,0,,,Admin3
19173,Taylor,Iowa,US,,40.73710579,-94.69778563,0,0,,,Admin3
19053,Decatur,Iowa,US,,40.73742757,-93.78645949,0,0,,,Admin3
19145,Page,Iowa,US,,40.7393172,-95.1497813,0,0,,,Admin3
19185,Wayne,Iowa,US,,40.73969028,-93.32752197,0,0,,,Admin3
19007,Appanoose,Iowa,US,,40.74324454,-92.86865906,0,0,,,Admin3
19071,Fremont,Iowa,US,,40.7454272,-95.60129045,0,0,,,Admin3
19051,Davis,Iowa,US,,40.74773536,-92.41005468,0,0,,,Admin3
19177,Van Buren,Iowa,US,,40.75326764,-91.95017958,0,0,,,Admin3
19057,Des Moines,Iowa,US,,40.92012606,-91.18326592,0,0,,,Admin3
19087,Henry,Iowa,US,,40.98767962,-91.54436349,0,0,,,Admin3
19175,Union,Iowa,US,,41.0277278,-94.24234847,0,0,,,Admin3
19039,Clarke,Iowa,US,,41.02868181,-93.78499767,0,0,,,Admin3
19003,Adams,Iowa,US,,41.02903567,-94.69932645,0,0,,,Admin3
19117,Lucas,Iowa,US,,41.02958964,-93.32780803,0,0,,,Admin3
19135,Monroe,Iowa,US,,41.02988815,-92.8690667,0,0,,,Admin3
19137,Montgomery,Iowa,US,,41.03018714,-95.15642896,0,0,,,Admin3
19179,Wapello,Iowa,US,,41.03064984,-92.40954728,0,0,,,Admin3
19101,Jefferson,Iowa,US,,41.03192394,-91.94849466,0,0,,,Admin3
19129,Mills,Iowa,US,,41.03299766,-95.61920963,0,0,,,Admin3
19115,Louisa,Iowa,US,,41.21842119,-91.26102611,0,0,,,Admin3
19001,Adair,Iowa,US,,41.33075609,-94.47105874,0,0,,,Admin3
19121,Madison,Iowa,US,,41.33081904,-94.01554631,0,0,,,Admin3
19029,Cass,Iowa,US,,41.33149454,-94.92792482,0,0,,,Admin3
19125,Marion,Iowa,US,,41.33445101,-93.09934783,0,0,,,Admin3
19123,Mahaska,Iowa,US,,41.33521503,-92.64083907,0,0,,,Admin3
19181,Warren,Iowa,US,,41.33559454,-93.56007641,0,0,,,Admin3
19183,Washington,Iowa,US,,41.33577126,-91.71725711,0,0,,,Admin3
19155,Pottawattamie,Iowa,US,,41.33640314,-95.53907776,1,0,,,Admin3
19107,Keokuk,Iowa,US,,41.33649833,-92.1785067,0,0,,,Admin3
19139,Muscatine,Iowa,US,,41.48370744,-91.1121697,0,0,,,Admin3
19163,Scott,Iowa,US,,41.63935978,-90.61959493,0,0,,,Admin3
19103,Johnson,Iowa,US,,41.67169354,-91.58754744,14,0,,,Admin3
19085,Harrison,Iowa,US,,41.68330137,-95.81558439,1,0,,,Admin3
19077,Guthrie,Iowa,US,,41.68378965,-94.50111014,0,0,,,Admin3
19009,Audubon,Iowa,US,,41.6844628,-94.90581859,0,0,,,Admin3
19165,Shelby,Iowa,US,,41.6850066,-95.31015553,0,0,,,Admin3
19049,Dallas,Iowa,US,,41.68560356,-94.04127625,1,0,,,Admin3
19099,Jasper,Iowa,US,,41.68576082,-93.05567785,0,0,,,Admin3
19157,Poweshiek,Iowa,US,,41.68625425,-92.53155731,0,0,,,Admin3
19095,Iowa,Iowa,US,,41.68630265,-92.0643373,0,0,,,Admin3
19153,Polk,Iowa,US,,41.68679484,-93.57767461,0,0,,,Admin3
19031,Cedar,Iowa,US,,41.77233777,-91.13246684,0,0,,,Admin3
19045,Clinton,Iowa,US,,41.89981633,-90.53275096,0,0,,,Admin3
19127,Marshall,Iowa,US,,42.03586837,-92.9990819,0,0,,,Admin3
19073,Greene,Iowa,US,,42.03614551,-94.39658081,0,0,,,Admin3
19027,Carroll,Iowa,US,,42.03617207,-94.86032705,1,0,,,Admin3
19169,Story,Iowa,US,,42.03621213,-93.46499005,0,0,,,Admin3
19015,Boone,Iowa,US,,42.03657094,-93.9313999,0,0,,,Admin3
19047,Crawford,Iowa,US,,42.03718237,-95.3819718,0,0,,,Admin3
19133,Monona,Iowa,US,,42.05220391,-95.95743843,0,0,,,Admin3
19113,Linn,Iowa,US,,42.07923082,-91.59809485,0,0,,,Admin3
19171,Tama,Iowa,US,,42.07991767,-92.53266945,0,0,,,Admin3
19011,Benton,Iowa,US,,42.08011739,-92.06463573,0,0,,,Admin3
19105,Jones,Iowa,US,,42.12118609,-91.13139641,0,0,,,Admin3
19097,Jackson,Iowa,US,,42.17178824,-90.57354837,0,0,,,Admin3
19083,Hardin,Iowa,US,,42.38353877,-93.23654611,0,0,,,Admin3
19079,Hamilton,Iowa,US,,42.38382428,-93.70197703,0,0,,,Admin3
19025,Calhoun,Iowa,US,,42.38521079,-94.64046046,0,0,,,Admin3
19161,Sac,Iowa,US,,42.38624071,-95.10547892,0,0,,,Admin3
19093,Ida,Iowa,US,,42.38696136,-95.51355387,0,0,,,Admin3
19193,Woodbury,Iowa,US,,42.38979414,-96.0459439,0,0,,,Admin3
19075,Grundy,Iowa,US,,42.40183723,-92.78829551,0,0,,,Admin3
19187,Webster,Iowa,US,,42.42853483,-94.17987389,0,0,,,Admin3
19061,Dubuque,Iowa,US,,42.46815349,-90.88181925,0,0,,,Admin3
19013,Black Hawk,Iowa,US,,42.4704581,-92.30524729,0,0,,,Admin3
19019,Buchanan,Iowa,US,,42.4709188,-91.83510825,0,0,,,Admin3
19055,Delaware,Iowa,US,,42.47104597,-91.3664492,0,0,,,Admin3
19023,Butler,Iowa,US,,42.73172833,-92.79015971,0,0,,,Admin3
19069,Franklin,Iowa,US,,42.73270384,-93.26256925,0,0,,,Admin3
19197,Wright,Iowa,US,,42.73305373,-93.73515113,0,0,,,Admin3
19151,Pocahontas,Iowa,US,,42.73420133,-94.67862564,0,0,,,Admin3
19035,Cherokee,Iowa,US,,42.73538914,-95.62389402,0,0,,,Admin3
19021,Buena Vista,Iowa,US,,42.73545875,-95.15100162,0,0,,,Admin3
19149,Plymouth,Iowa,US,,42.737633,-96.21366621,0,0,,,Admin3
19017,Bremer,Iowa,US,,42.77461496,-92.31795937,0,0,,,Admin3
19091,Humboldt,Iowa,US,,42.7764426,-94.20722537,0,0,,,Admin3
19043,Clayton,Iowa,US,,42.84443388,-91.34133693,0,0,,,Admin3
19065,Fayette,Iowa,US,,42.86271799,-91.8441231,0,0,,,Admin3
19067,Floyd,Iowa,US,,43.0600053,-92.78940097,0,0,,,Admin3
19037,Chickasaw,Iowa,US,,43.06001295,-92.31773347,0,0,,,Admin3
19033,Cerro Gordo,Iowa,US,,43.08177563,-93.2612239,0,0,,,Admin3
19081,Hancock,Iowa,US,,43.08178477,-93.73454884,0,0,,,Admin3
19147,Palo Alto,Iowa,US,,43.08193849,-94.67824621,0,0,,,Admin3
19167,Sioux,Iowa,US,,43.08221074,-96.1767568,0,0,,,Admin3
19041,Clay,Iowa,US,,43.08247182,-95.15096481,0,0,,,Admin3
19141,O'Brien,Iowa,US,,43.08310673,-95.62474482,0,0,,,Admin3
19109,Kossuth,Iowa,US,,43.20405458,-94.20691791,0,0,,,Admin3
19005,Allamakee,Iowa,US,,43.28383218,-91.37860922,0,0,,,Admin3
19191,Winneshiek,Iowa,US,,43.29094334,-91.84422722,0,0,,,Admin3
19131,Mitchell,Iowa,US,,43.35638371,-92.78887719,0,0,,,Admin3
19089,Howard,Iowa,US,,43.35671042,-92.31702714,0,0,,,Admin3
19195,Worth,Iowa,US,,43.37750768,-93.26087602,0,0,,,Admin3
19189,Winnebago,Iowa,US,,43.37751174,-93.73407298,0,0,,,Admin3
19063,Emmet,Iowa,US,,43.37782951,-94.67858943,0,0,,,Admin3
19059,Dickinson,Iowa,US,,43.37787725,-95.1510206,0,0,,,Admin3
19143,Osceola,Iowa,US,,43.37824276,-95.62422844,0,0,,,Admin3
19119,Lyon,Iowa,US,,43.38107862,-96.20926845,0,0,,,Admin3
20019,Chautauqua,Kansas,US,,37.14994405,-96.2454192,0,0,,,Admin3
20021,Cherokee,Kansas,US,,37.16928494,-94.8462897,0,0,,,Admin3
20099,Labette,Kansas,US,,37.19113093,-95.29849679,0,0,,,Admin3
20033,Comanche,Kansas,US,,37.1911452,-99.27113247,0,0,,,Admin3
20129,Morton,Kansas,US,,37.19141121,-101.7992519,0,0,,,Admin3
20077,Harper,Kansas,US,,37.19175361,-98.07578384,0,0,,,Admin3
20189,Stevens,Kansas,US,,37.1923008,-101.3118967,0,0,,,Admin3
20125,Montgomery,Kansas,US,,37.19236568,-95.74329258,0,0,,,Admin3
20175,Seward,Kansas,US,,37.19324632,-100.8507201,0,0,,,Admin3
20007,Barber,Kansas,US,,37.2288586,-98.68460053,0,0,,,Admin3
20025,Clark,Kansas,US,,37.23577007,-99.81883015,0,0,,,Admin3
20191,Sumner,Kansas,US,,37.23682549,-97.47721621,0,0,,,Admin3
20035,Cowley,Kansas,US,,37.23781842,-96.83776647,0,0,,,Admin3
20119,Meade,Kansas,US,,37.23859987,-100.364831,0,0,,,Admin3
20049,Elk,Kansas,US,,37.45338105,-96.24369667,0,0,,,Admin3
20037,Crawford,Kansas,US,,37.50675523,-94.85245778,0,0,,,Admin3
20097,Kiowa,Kansas,US,,37.55848695,-99.2856537,0,0,,,Admin3
20133,Neosho,Kansas,US,,37.55862897,-95.30670046,0,0,,,Admin3
20095,Kingman,Kansas,US,,37.55909527,-98.13638678,0,0,,,Admin3
20205,Wilson,Kansas,US,,37.55937174,-95.74323255,0,0,,,Admin3
20081,Haskell,Kansas,US,,37.5620394,-100.8710738,0,0,,,Admin3
20067,Grant,Kansas,US,,37.56227336,-101.3079758,0,0,,,Admin3
20187,Stanton,Kansas,US,,37.56304714,-101.7843534,0,0,,,Admin3
20151,Pratt,Kansas,US,,37.64780729,-98.73922153,0,0,,,Admin3
20173,Sedgwick,Kansas,US,,37.6842718,-97.4608198,0,0,,,Admin3
20057,Ford,Kansas,US,,37.69200114,-99.88825298,0,0,,,Admin3
20069,Gray,Kansas,US,,37.73836671,-100.4369088,0,0,,,Admin3
20015,Butler,Kansas,US,,37.78134351,-96.83878537,1,0,,,Admin3
20011,Bourbon,Kansas,US,,37.85508555,-94.84865997,0,0,,,Admin3
20073,Greenwood,Kansas,US,,37.8774388,-96.23250453,0,0,,,Admin3
20001,Allen,Kansas,US,,37.88582951,-95.30030847,0,0,,,Admin3
20207,Woodson,Kansas,US,,37.8865336,-95.74006277,0,0,,,Admin3
20047,Edwards,Kansas,US,,37.88735543,-99.31263309,0,0,,,Admin3
20155,Reno,Kansas,US,,37.95230263,-98.08607292,0,0,,,Admin3
20075,Hamilton,Kansas,US,,37.99978709,-101.7921066,0,0,,,Admin3
20093,Kearny,Kansas,US,,38.00017981,-101.321681,0,0,,,Admin3
20185,Stafford,Kansas,US,,38.03100851,-98.71762001,0,0,,,Admin3
20079,Harvey,Kansas,US,,38.04293782,-97.42747573,0,0,,,Admin3
20055,Finney,Kansas,US,,38.04340344,-100.7381938,0,0,,,Admin3
20083,Hodgeman,Kansas,US,,38.08780079,-99.89829881,0,0,,,Admin3
20145,Pawnee,Kansas,US,,38.18108732,-99.23692334,0,0,,,Admin3
20107,Linn,Kansas,US,,38.21267844,-94.84254089,0,0,,,Admin3
20003,Anderson,Kansas,US,,38.21413251,-95.29272815,0,0,,,Admin3
20031,Coffey,Kansas,US,,38.2365018,-95.73379515,0,0,,,Admin3
20017,Chase,Kansas,US,,38.30292938,-96.59563862,0,0,,,Admin3
20159,Rice,Kansas,US,,38.34616184,-98.19992118,0,0,,,Admin3
20115,Marion,Kansas,US,,38.35855394,-97.0985251,0,0,,,Admin3
20113,McPherson,Kansas,US,,38.39184858,-97.64769869,0,0,,,Admin3
